formation_date,effective_date,fund_family,method,fund_name,ticker,target_weight
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,ABBV,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,ABT,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,ADBE,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,AEP,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,AMD,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,AMGN,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,AMT,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,BA,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,CAT,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,CCI,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,CMCSA,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,COP,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,CVX,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,D,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,DD,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,DIS,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,DOW,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,DUK,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,EA,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,GE,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,GILD,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,GS,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,INTC,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,KO,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,MMM,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,MRK,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,MS,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,NEE,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,NEM,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,NKE,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,NUE,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,NVDA,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,O,0.02
2020-12-31,2021-01-04,Equity-Only,equal_weight,Equity-Only Equal Weight,OXY,0.02
