date,ticker,extended_z_expanding
2021-01-04,ABBV,
2021-01-04,ABT,
2021-01-04,ADBE,
2021-01-04,AEP,
2021-01-04,AMD,
2021-01-04,AMGN,
2021-01-04,AMT,
2021-01-04,BA,
2021-01-04,CAT,
2021-01-04,CCI,
2021-01-04,CMCSA,
2021-01-04,COP,
2021-01-04,CVX,
2021-01-04,D,
2021-01-04,DD,
2021-01-04,DIS,
2021-01-04,DOW,
2021-01-04,DUK,
2021-01-04,EA,
2021-01-04,GE,
2021-01-04,GILD,
2021-01-04,GS,
2021-01-04,INTC,
2021-01-04,KO,
2021-01-04,MMM,
2021-01-04,MRK,
2021-01-04,MS,
2021-01-04,NEE,
2021-01-04,NEM,
2021-01-04,NKE,
2021-01-04,NUE,
2021-01-04,NVDA,
2021-01-04,O,
2021-01-04,OXY,
2021-01-04,PLD,
2021-01-04,PSA,
2021-01-04,QCOM,
2021-01-04,SBUX,
2021-01-04,SHW,
2021-01-04,SLB,
2021-01-04,SO,
2021-01-04,T,
2021-01-04,TMUS,
2021-01-04,TTWO,
2021-01-04,UPS,
2021-01-04,USB,
2021-01-04,V,
2021-01-04,WFC,
2021-01-04,WMT,
2021-01-04,XOM,
2021-01-05,ABBV,
2021-01-05,ABT,
2021-01-05,ADBE,
2021-01-05,AEP,
2021-01-05,AMD,
2021-01-05,AMGN,
2021-01-05,AMT,
2021-01-05,BA,
2021-01-05,CAT,
2021-01-05,CCI,
2021-01-05,CMCSA,
2021-01-05,COP,
2021-01-05,CVX,
2021-01-05,D,
2021-01-05,DD,
2021-01-05,DIS,
2021-01-05,DOW,
2021-01-05,DUK,
2021-01-05,EA,
2021-01-05,GE,
2021-01-05,GILD,
2021-01-05,GS,
2021-01-05,INTC,
2021-01-05,KO,
2021-01-05,MMM,
2021-01-05,MRK,
2021-01-05,MS,
2021-01-05,NEE,
2021-01-05,NEM,
2021-01-05,NKE,
2021-01-05,NUE,
2021-01-05,NVDA,
2021-01-05,O,
2021-01-05,OXY,
2021-01-05,PLD,
2021-01-05,PSA,
2021-01-05,QCOM,
2021-01-05,SBUX,
2021-01-05,SHW,
2021-01-05,SLB,
2021-01-05,SO,
2021-01-05,T,
2021-01-05,TMUS,
2021-01-05,TTWO,
