scope,group,metric,value
overall,,headline_count,109875.0
overall,,custom_hit_count,2832.0
overall,,custom_hit_share,0.025774744027303755
overall,,score_changed_count,2832.0
overall,,score_changed_share,0.025774744027303755
sector,Comm,headline_count,8636.0
sector,Comm,custom_hit_count,138.0
sector,Comm,custom_hit_share,0.015979620194534506
sector,Consumer,headline_count,18408.0
sector,Consumer,custom_hit_count,420.0
sector,Consumer,custom_hit_share,0.022816166883963495
sector,Energy,headline_count,14824.0
sector,Energy,custom_hit_count,413.0
sector,Energy,custom_hit_share,0.02786022665947113
sector,Financials,headline_count,14128.0
sector,Financials,custom_hit_count,465.0
sector,Financials,custom_hit_share,0.03291336353340883
sector,Healthcare,headline_count,9964.0
sector,Healthcare,custom_hit_count,191.0
sector,Healthcare,custom_hit_share,0.019169008430349257
sector,Industrials,headline_count,8889.0
sector,Industrials,custom_hit_count,248.0
sector,Industrials,custom_hit_share,0.02789965125435932
sector,Materials,headline_count,3780.0
sector,Materials,custom_hit_count,87.0
sector,Materials,custom_hit_share,0.023015873015873017
sector,RealEstate,headline_count,4238.0
sector,RealEstate,custom_hit_count,68.0
sector,RealEstate,custom_hit_share,0.01604530438886267
sector,Tech,headline_count,22522.0
sector,Tech,custom_hit_count,723.0
sector,Tech,custom_hit_share,0.03210194476511855
sector,Utilities,headline_count,4486.0
sector,Utilities,custom_hit_count,79.0
sector,Utilities,custom_hit_share,0.01761034329023629
year,2021,headline_count,25763.0
year,2021,custom_hit_count,649.0
year,2021,custom_hit_share,0.025191165625121296
year,2022,headline_count,37627.0
year,2022,custom_hit_count,1069.0
year,2022,custom_hit_share,0.02841044994286018
year,2023,headline_count,46485.0
year,2023,custom_hit_count,1114.0
year,2023,custom_hit_share,0.023964719802086695
hit_count_distribution,0,headline_count,107043.0
hit_count_distribution,1,headline_count,2799.0
hit_count_distribution,2,headline_count,33.0
