term,valence,frequency,document_frequency,share_of_headlines,n_tickers,n_sectors,mean_score_delta_when_present
sinks,-2.2,407,407,0.0037042093287827076,49,10,-0.524487714987715
jumps,1.4,239,239,0.0021751990898748576,39,10,0.2877125523012553
climbs,1.6,179,179,0.0016291240045506257,40,10,0.31337430167597763
rallies,2.4,164,164,0.0014926052332195677,34,9,0.4556195121951219
jumped,1.4,161,161,0.0014653014789533562,39,10,0.3170242236024845
soaring,2.3,150,150,0.0013651877133105802,39,10,0.47025666666666666
soars,2.4,146,146,0.0013287827076222981,35,9,0.42323082191780814
sell-off,-2.9,124,124,0.0011285551763367463,40,10,-0.579475
selloff,-2.9,123,123,0.0011194539249146757,29,8,-0.5663731707317073
comeback,2.2,103,103,0.0009374288964732651,27,8,0.4734728155339805
tumbles,-2.5,95,95,0.0008646188850967008,25,9,-0.43168526315789485
rout,-3.6,90,90,0.0008191126279863481,22,7,-0.67763
delays,-1.7,89,89,0.0008100113765642776,26,9,-0.3926033707865168
rallied,2.4,80,80,0.0007281001137656428,20,7,0.4967762499999999
breakout,1.7,79,79,0.0007189988623435722,29,9,0.3594670886075949
plunged,-2.9,77,77,0.0007007963594994311,24,9,-0.5849649350649351
soared,2.4,76,76,0.0006916951080773606,34,10,0.46166842105263156
crashes,-3.9,75,75,0.0006825938566552901,27,10,-0.7216413333333334
crashed,-3.9,71,71,0.0006461888509670079,24,8,-0.6943549295774648
rebounds,1.9,65,65,0.0005915813424345848,24,7,0.3538892307692308
surged,2.4,62,62,0.0005642775881683731,27,8,0.45253064516129027
layoffs,-2.8,45,45,0.00040955631399317407,15,7,-0.5606622222222222
bearish,-2.4,39,39,0.00035494880546075084,22,8,-0.5065692307692307
retreats,-1.5,34,34,0.0003094425483503982,17,7,-0.30647647058823535
plunges,-2.9,33,33,0.00030034129692832766,19,7,-0.5438090909090909
rebounding,1.9,21,21,0.00019112627986348123,13,6,0.386052380952381
upgraded,2.8,21,21,0.00019112627986348123,14,7,0.5545571428571427
better-than-expected,2.9,11,11,0.00010011376564277589,11,7,0.5608636363636363
downgraded,-2.8,6,6,5.460750853242321e-05,4,3,-0.5024666666666666
hampered,-2.0,0,0,0.0,0,0,
