fund_name,fund_family,method,annualization_factor,oos_start,oos_end,annual_return,annual_volatility,sharpe_ratio,max_drawdown
Equity-Only Equal Weight,Equity-Only,equal_weight,252,2021-01-04,2023-12-29,0.12568388753645743,0.16120219497345303,0.8151233064015632,-0.20263926950823907
Equity-Only Minimum Variance,Equity-Only,minimum_variance,252,2021-01-04,2023-12-29,0.05203694022115313,0.12724139968697304,0.4622993012086835,-0.15323125234458757
Equity-Only Maximum Sharpe,Equity-Only,maximum_sharpe,252,2021-01-04,2023-12-29,0.08694380367064136,0.18161105685008608,0.5499931762586215,-0.25788062492184227
Equity-Only HRP,Equity-Only,hrp,252,2021-01-04,2023-12-29,0.08170340548307276,0.13682478014579877,0.6424458248554936,-0.17436848134541005
Crypto-Only Equal Weight,Crypto-Only,equal_weight,365,2021-01-01,2023-12-31,0.40361692763294776,0.8188936936246295,0.827555413967088,-0.8158915066664059
Crypto-Only Minimum Variance,Crypto-Only,minimum_variance,365,2021-01-01,2023-12-31,0.3186809456494746,0.6495727388467383,0.7516216290423052,-0.7578748008624886
Crypto-Only Maximum Sharpe,Crypto-Only,maximum_sharpe,365,2021-01-01,2023-12-31,-0.23855706746330307,0.7982932253403885,0.06023853380272969,-0.8892360419673622
Crypto-Only HRP,Crypto-Only,hrp,365,2021-01-01,2023-12-31,0.4300150394118769,0.769455581154588,0.8535271885121668,-0.7811294115831928
Combined Equal Weight,Combined,equal_weight,252,2021-01-04,2023-12-29,0.15044828353916828,0.21600261070779667,0.7571689033532957,-0.27903089892308186
Combined Minimum Variance,Combined,minimum_variance,252,2021-01-04,2023-12-29,0.05190504739293744,0.12749264216628575,0.4606585261118276,-0.15476396814122229
Combined Maximum Sharpe,Combined,maximum_sharpe,252,2021-01-04,2023-12-29,0.23501019998670247,0.25144945038842426,0.9648867173271293,-0.25960413352567036
Combined HRP,Combined,hrp,252,2021-01-04,2023-12-29,0.0960666440983573,0.13953913624498,0.7272120432125362,-0.1790720416092062
