term,frequency,document_frequency,in_lexicon,current_valence,n_tickers,n_sectors,example_headlines,window_start,window_end,n_headlines_in_window,is_stopword,review_eligible,exclusion_reason
the,7994,6960,False,,50,10,3 Stocks to Buy and Hold for the Next 50 Years || MRO or OXY: Which Is the Better Value Stock Right Now? || Why Retirees Should Scoop Up This Dividend Stock Before the Next Recession,2020-01-01,2020-12-31,36955,True,False,stopword
stocks,6675,6506,False,,50,10,3 Stocks to Buy and Hold for the Next 50 Years || Warren Buffett Bought These 9 Stocks in 2019 || 24 Technology Stocks Moving In Thursday's Pre-Market Session,2020-01-01,2020-12-31,36955,True,False,stopword
for,5671,5543,False,,50,10,Breakingviews - A health craze for 2020: Chinese medicine || 3 Ways to Prepare Your Stock Portfolio for a Recession || 3 Stocks to Buy and Hold for the Next 50 Years,2020-01-01,2020-12-31,36955,True,False,stopword
stock,4696,4656,True,0.0,49,10,"Is AbbVie's Stock a Buy? || 3 Ways to Prepare Your Stock Portfolio for a Recession || Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support",2020-01-01,2020-12-31,36955,True,False,stopword
buy,3314,3310,True,0.034999999999999996,50,10,Is AbbVie's Stock a Buy? || 3 Stocks to Buy and Hold for the Next 50 Years || GILD vs. TECH: Which Stock Should Value Investors Buy Now?,2020-01-01,2020-12-31,36955,False,True,
and,3271,2998,False,,50,10,3 Stocks to Buy and Hold for the Next 50 Years || How Does Abbott's Revenue And Other Key Metrics Compare With That of Boston Scientific? || AMD and Micron Are Among Rosenblatt’s Top Semiconductor Picks for 2020,2020-01-01,2020-12-31,36955,True,False,stopword
inc,2361,1512,False,,49,10,"Watch This Trade Level For DuPont De Nemours Inc || AT&T Inc. (T) Ex-Dividend Date Scheduled for January 09, 2020 || Elefante Mark B Buys American Tower Corp, UnitedHealth Group Inc, Becton, Dickinson and Co",2020-01-01,2020-12-31,36955,True,False,stopword
are,2303,2229,False,,50,10,"AMD and Micron Are Among Rosenblatt’s Top Semiconductor Picks for 2020 || Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Stock Market Kicks Off 2020 With Solid Gains; Amazon, AMD, Apple And Tesla Are Key Leaders",2020-01-01,2020-12-31,36955,True,False,stopword
coronavirus,2274,2246,False,,49,10,"Stocks Sharply Lower After Coronavirus Hits U.S. || Dow Leads Market Indexes Lower Amid Reports Of First U.S. Coronavirus Case || Stock Market Worsens On Coronavirus Fears; China Stocks Hit, but Tesla, Costco Shine",2020-01-01,2020-12-31,36955,False,True,
earnings,2142,2127,False,,50,10,Occidental Petroleum Option Alert: Feb 21 $45 Calls Sweep (45) near the Ask: 936 @ $0.891 vs 7304 OI; Earnings 2/11 After Close [est] Ref=$42.19 || Purchase Qualcomm Stock Gradually Until Earnings Growth Heats Up || Gilead Sciences Option Alert: Jan 17 $65 Calls at the Ask: 1500 @ $1.311 vs 32458 OI; Earnings 2/3 After Close [est] Ref=$65.1002,2020-01-01,2020-12-31,36955,False,True,
shares,1922,1893,True,1.2,48,10,"Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Amgen Completes Purchase Of About $2.8 Bln Of BeiGene Shares || Occidental Petroleum shares are trading higher. The stock moved higher following unusual interest in Feb 21st, $45 call contract.",2020-01-01,2020-12-31,36955,True,False,stopword
why,1815,1811,False,,50,10,Why Retirees Should Scoop Up This Dividend Stock Before the Next Recession || 3 Reasons Why GE Stock Could Rally Another 20% in 2020 || Why General Electric Stock Popped 5% Today,2020-01-01,2020-12-31,36955,True,False,stopword
buys,1672,1672,False,,46,10,Merck Buys Exclusive Global License from Taiho and Astex for its Small Molecule Inhibitor Candidates for $50M Upfront and Milestone Payments || 10.5% of FPX Holdings Seeing Recent Insider Buys || Consolidated Edison's Unit Buys Solar Project in New Jersey,2020-01-01,2020-12-31,36955,False,True,
energy,1617,1558,True,0.03,46,10,"Energy Sector Update for 01/02/2020: XOM, CVX, COP, SLB, OXY, CLB, WMB, SDRL || Energy Sector Update for 01/03/2020: BP, XOM, CVX, COP, SLB, OXY, CVI || Credit Suisse Maintains Outperform on NextEra Energy, Raises Price Target to $250",2020-01-01,2020-12-31,36955,False,True,
dow,1603,1499,False,,40,10,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support || Dow Jones News: Microsoft, Intel Hit the Ground Running in 2020 || Dow Movers: UNH, BA",2020-01-01,2020-12-31,36955,False,True,
with,1591,1569,False,,49,10,How Does Abbott's Revenue And Other Key Metrics Compare With That of Boston Scientific? || Amgen Commences Strategic Collaboration With BeiGene To Expand Oncology Presence In China || Dow Dogs 2019 Return Unable To Keep Pace With Broader Market,2020-01-01,2020-12-31,36955,True,False,stopword
